Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2017-09-29;16:24:30;0;20,484163;38,155274;41,2;0,8;76,0;3,7;110,0
2017-09-29;16:24:31;1;20,484154;38,155283;41,2;1,9;77,0;4,0;110,0
2017-09-29;16:24:33;3;20,484139;38,155318;41,4;5,9;77,0;4,0;110,0
2017-09-29;16:24:40;10;20,483973;38,155380;40,2;24,1;81,0;9,1;158,0
2017-09-29;16:24:44;14;20,483866;38,155331;38,6;35,0;90,0;9,5;164,0
2017-09-29;16:24:45;15;20,483839;38,155317;38,0;37,8;90,0;9,4;164,0
2017-09-29;16:24:54;24;20,483631;38,155204;35,4;59,9;97,0;8,9;162,0
2017-09-29;16:24:55;25;20,483609;38,155194;35,2;62,2;97,0;8,8;164,0
2017-09-29;16:24:59;29;20,483517;38,155143;34,0;72,0;110,0;8,7;164,0
2017-09-29;16:25:00;30;20,483497;38,155136;33,8;73,9;110,0;8,6;164,0
2017-09-29;16:25:04;34;20,483393;38,154925;30,8;95,9;110,0;8,6;172,0
2017-09-29;16:25:06;36;20,483342;38,154891;30,2;101,1;109,0;9,7;178,0
2017-09-29;16:25:08;38;20,483285;38,154901;29,8;106,0;115,0;9,7;180,0
2017-09-29;16:25:09;39;20,483264;38,154915;29,8;108,3;125,0;10,1;180,0
2017-09-29;16:25:10;40;20,483244;38,154934;29,8;110,9;133,0;10,1;170,0
2017-09-29;16:25:11;41;20,483226;38,154951;30,0;113,4;140,0;10,2;168,0
2017-09-29;16:25:13;43;20,483193;38,154993;30,2;118,9;144,0;10,1;166,0
2017-09-29;16:25:15;45;20,483156;38,155029;30,2;124,0;148,0;10,0;162,0
2017-09-29;16:25:17;47;20,483115;38,155068;30,4;129,5;145,0;9,8;160,0
2017-09-29;16:25:21;51;20,483036;38,155147;30,6;140,5;149,0;9,7;160,0
2017-09-29;16:25:24;54;20,482979;38,155213;30,6;149,5;152,0;9,7;162,0
2017-09-29;16:25:27;57;20,482928;38,155287;30,6;158,7;155,0;9,9;164,0
2017-09-29;16:25:33;63;20,482820;38,155429;30,8;177,2;158,0;10,0;160,0
2017-09-29;16:25:38;68;20,482735;38,155544;31,0;192,0;161,0;10,2;160,0
2017-09-29;16:25:45;75;20,482619;38,155701;30,8;212,2;162,0;10,3;162,0
2017-09-29;16:25:52;82;20,482519;38,155878;30,2;233,7;161,0;10,4;160,0
2017-09-29;16:25:59;89;20,482382;38,156046;29,8;255,9;162,0;10,5;162,0
2017-09-29;16:26:06;96;20,482245;38,156204;29,4;277,1;163,0;10,6;164,0
2017-09-29;16:26:13;103;20,482107;38,156361;29,2;298,3;164,0;10,6;164,0
