Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2013-05-12;14:23:55;0;17,193669;60,650952;23,6;0,0;77,0;0,0;0,0
2013-05-12;14:23:56;1;17,193671;60,650948;23,6;0,0;77,0;0,0;0,0
2013-05-12;14:24:01;6;17,193569;60,650879;23,6;9,8;81,0;5,9;0,0
2013-05-12;14:24:05;10;17,193541;60,650770;23,2;22,2;87,0;11,2;0,0
2013-05-12;14:24:08;13;17,193529;60,650676;24,2;32,7;93,0;12,6;0,0
2013-05-12;14:24:09;14;17,193503;60,650647;24,2;36,2;93,0;12,6;0,0
2013-05-12;14:24:12;17;17,193392;60,650575;25,2;46,2;99,0;12,0;0,0
2013-05-12;14:24:16;21;17,193178;60,650560;25,6;58,3;100,0;10,9;0,0
2013-05-12;14:24:19;24;17,193005;60,650567;26,0;67,8;106,0;11,4;0,0
2013-05-12;14:24:25;30;17,192644;60,650581;25,6;87,6;110,0;11,9;0,0
2013-05-12;14:24:32;37;17,192226;60,650576;26,0;110,5;114,0;11,8;0,0
2013-05-12;14:24:37;42;17,191945;60,650556;24,6;126,0;118,0;11,2;0,0
2013-05-12;14:24:40;45;17,191767;60,650538;24,6;135,9;125,0;11,8;0,0
2013-05-12;14:24:41;46;17,191713;60,650530;24,6;139,0;125,0;11,2;0,0
2013-05-12;14:24:42;47;17,191654;60,650519;25,2;142,4;130,0;12,3;0,0
2013-05-12;14:24:43;48;17,191594;60,650510;25,2;145,8;130,0;12,3;0,0
2013-05-12;14:24:48;53;17,191303;60,650472;25,6;162,3;129,0;11,8;0,0
2013-05-12;14:24:54;59;17,190961;60,650421;25,2;181,8;130,0;11,7;0,0
2013-05-12;14:25:00;65;17,190625;60,650382;25,6;200,7;131,0;11,3;0,0
2013-05-12;14:25:04;69;17,190396;60,650362;25,2;213,4;137,0;11,4;0,0
2013-05-12;14:25:05;70;17,190331;60,650356;25,2;217,0;137,0;13,0;0,0
2013-05-12;14:25:12;77;17,189886;60,650324;23,6;241,6;138,0;12,7;0,0
2013-05-12;14:25:18;83;17,189533;60,650306;21,8;261,0;140,0;11,6;0,0
2013-05-12;14:25:24;89;17,189197;60,650293;20,8;279,5;144,0;11,1;0,0
2013-05-12;14:25:30;95;17,188852;60,650277;20,4;298,4;144,0;11,4;0,0
2013-05-12;14:25:36;101;17,188486;60,650256;18,8;318,6;140,0;12,1;0,0
