Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2018-09-22;13:43:31;0;20,483850;38,154801;34,8;1,1;74,0;0,0;118,0
2018-09-22;13:43:32;1;20,483841;38,154799;34,6;2,0;75,0;4,8;118,0
2018-09-22;13:43:34;3;20,483814;38,154786;34,2;4,7;75,0;3,9;118,0
2018-09-22;13:43:38;7;20,483742;38,154759;33,2;11,7;78,0;4,8;126,0
2018-09-22;13:43:39;8;20,483719;38,154760;32,8;13,8;79,0;5,8;126,0
2018-09-22;13:43:42;11;20,483658;38,154806;32,2;21,3;82,0;7,2;154,0
2018-09-22;13:43:45;14;20,483607;38,154858;31,8;28,6;85,0;8,3;166,0
2018-09-22;13:43:47;16;20,483563;38,154883;31,6;33,3;88,0;8,4;162,0
2018-09-22;13:43:50;19;20,483494;38,154909;31,4;40,0;92,0;8,4;160,0
2018-09-22;13:43:52;21;20,483444;38,154905;31,0;44,4;95,0;8,1;158,0
2018-09-22;13:43:54;23;20,483400;38,154887;30,4;48,8;98,0;8,1;168,0
2018-09-22;13:43:59;28;20,483308;38,154829;29,2;59,1;100,0;8,1;172,0
2018-09-22;13:44:07;36;20,483169;38,154953;29,6;78,0;103,0;8,4;156,0
2018-09-22;13:44:13;42;20,483083;38,155058;30,0;91,9;106,0;8,3;158,0
2018-09-22;13:44:22;51;20,482936;38,155215;30,2;113,4;108,0;8,4;160,0
2018-09-22;13:44:31;60;20,482807;38,155378;30,4;134,8;110,0;8,4;160,0
2018-09-22;13:44:40;69;20,482678;38,155550;30,8;156,9;112,0;8,5;160,0
2018-09-22;13:44:47;76;20,482586;38,155683;30,4;173,8;115,0;8,6;158,0
2018-09-22;13:44:53;82;20,482501;38,155808;30,0;189,5;118,0;8,7;160,0
2018-09-22;13:45:00;89;20,482372;38,155938;29,0;207,9;121,0;8,8;160,0
2018-09-22;13:45:08;97;20,482259;38,156113;29,0;229,7;124,0;8,9;162,0
2018-09-22;13:45:16;105;20,482119;38,156275;28,8;251,5;125,0;9,2;162,0
2018-09-22;13:45:24;113;20,481981;38,156427;29,0;272,3;126,0;9,2;162,0
2018-09-22;13:45:32;121;20,481861;38,156584;29,2;292,7;128,0;9,2;162,0
2018-09-22;13:45:41;130;20,481739;38,156759;28,8;314,9;130,0;9,2;164,0
2018-09-22;13:45:48;137;20,481688;38,156923;28,8;333,6;133,0;9,3;162,0
2018-09-22;13:45:56;145;20,481634;38,157105;28,6;354,4;134,0;9,4;162,0
2018-09-22;13:46:04;153;20,481716;38,157278;29,4;374,7;136,0;9,3;162,0
2018-09-22;13:46:12;161;20,481860;38,157448;30,6;397,3;136,0;9,4;162,0
2018-09-22;13:46:20;169;20,481977;38,157613;31,6;418,2;136,0;9,5;160,0
2018-09-22;13:46:28;177;20,482090;38,157774;31,6;438,6;136,0;9,5;160,0
2018-09-22;13:46:37;186;20,482185;38,157960;31,4;460,8;137,0;9,4;160,0
2018-09-22;13:46:45;194;20,482286;38,158122;31,4;480,9;137,0;9,4;160,0
2018-09-22;13:46:53;202;20,482347;38,158304;31,0;501,8;137,0;9,4;162,0
2018-09-22;13:47:01;210;20,482388;38,158485;30,6;522,1;138,0;9,4;162,0
2018-09-22;13:47:09;218;20,482409;38,158669;31,0;542,6;138,0;9,4;162,0
2018-09-22;13:47:17;226;20,482419;38,158859;31,0;563,7;137,0;9,5;160,0
2018-09-22;13:47:26;235;20,482431;38,159056;30,8;585,5;138,0;9,5;160,0
2018-09-22;13:47:35;244;20,482452;38,159254;30,8;607,5;138,0;9,3;160,0
2018-09-22;13:47:43;252;20,482461;38,159440;31,0;628,2;138,0;9,3;162,0
2018-09-22;13:47:52;261;20,482475;38,159642;31,4;650,6;138,0;9,3;160,0
2018-09-22;13:48:00;269;20,482494;38,159820;31,6;670,3;135,0;9,2;162,0
2018-09-22;13:48:09;278;20,482505;38,160022;31,6;692,7;135,0;9,2;160,0
2018-09-22;13:48:18;287;20,482506;38,160214;31,8;714,0;136,0;9,0;160,0
2018-09-22;13:48:24;293;20,482493;38,160313;31,8;724,9;137,0;8,9;160,0
2018-09-22;13:48:27;296;20,482454;38,160341;31,4;729,6;138,0;7,7;156,0
2018-09-22;13:48:35;304;20,482333;38,160389;30,2;743,3;135,0;7,1;152,0
2018-09-22;13:48:41;310;20,482204;38,160378;28,8;754,7;132,0;7,3;154,0
2018-09-22;13:48:45;314;20,482108;38,160372;28,0;763,1;129,0;7,4;152,0
2018-09-22;13:48:50;319;20,482015;38,160358;27,4;771,4;126,0;7,5;154,0
2018-09-22;13:48:58;327;20,481789;38,160338;26,0;791,3;123,0;7,6;154,0
2018-09-22;13:49:05;334;20,481624;38,160360;25,0;806,1;120,0;7,6;154,0
2018-09-22;13:49:14;343;20,481416;38,160448;23,0;826,8;119,0;7,6;156,0
2018-09-22;13:49:23;352;20,481190;38,160525;20,8;848,4;119,0;7,8;158,0
2018-09-22;13:49:32;361;20,480977;38,160613;18,8;869,6;120,0;8,0;154,0
2018-09-22;13:49:42;371;20,480742;38,160687;17,4;891,8;118,0;8,0;156,0
2018-09-22;13:49:52;381;20,480486;38,160772;16,0;916,1;118,0;8,0;158,0
2018-09-22;13:50:01;390;20,480256;38,160774;14,8;937,1;117,0;8,1;156,0
2018-09-22;13:50:02;391;20,480236;38,160772;14,6;938,9;117,0;8,1;156,0
2018-09-22;13:50:09;398;20,480082;38,160635;13,8;959,4;120,0;8,3;160,0
2018-09-22;13:50:17;406;20,479928;38,160487;13,2;981,1;121,0;8,8;160,0
2018-09-22;13:50:25;414;20,479719;38,160487;11,8;1000,1;121,0;8,7;160,0
2018-09-22;13:50:31;420;20,479581;38,160564;11,4;1015,5;120,0;8,8;152,0
2018-09-22;13:50:40;429;20,479576;38,160748;11,2;1035,9;119,0;8,7;154,0
2018-09-22;13:50:42;431;20,479562;38,160748;11,2;1037,7;118,0;8,6;154,0
2018-09-22;13:50:45;434;20,479559;38,160726;11,2;1040,2;116,0;7,6;156,0
2018-09-22;13:50:52;441;20,479513;38,160642;11,4;1050,4;113,0;6,0;158,0
2018-09-22;13:51:00;449;20,479403;38,160558;11,4;1063,8;110,0;6,2;148,0
2018-09-22;13:51:04;453;20,479377;38,160540;11,4;1066,9;108,0;5,9;148,0
2018-09-22;13:51:07;456;20,479385;38,160541;11,4;1067,6;105,0;0,1;0,0
2018-09-22;13:51:10;459;20,479396;38,160545;11,4;1068,4;102,0;0,1;0,0
2018-09-22;13:51:16;465;20,479411;38,160551;11,4;1069,5;99,0;0,0;0,0
2018-09-22;13:51:18;467;20,479419;38,160553;11,4;1070,1;96,0;0,1;0,0
2018-09-22;13:51:25;474;20,479417;38,160557;11,4;1070,4;93,0;0,2;0,0
2018-09-22;13:51:28;477;20,479419;38,160557;11,4;1070,6;90,0;0,1;0,0
2018-09-22;13:51:35;484;20,479452;38,160589;11,4;1075,5;93,0;0,2;118,0
2018-09-22;13:51:36;485;20,479454;38,160595;11,4;1076,1;93,0;4,4;118,0
2018-09-22;13:51:38;487;20,479477;38,160610;11,4;1078,7;94,0;3,5;118,0
2018-09-22;13:51:41;490;20,479528;38,160647;11,4;1084,7;98,0;7,1;160,0
2018-09-22;13:51:43;492;20,479558;38,160668;11,4;1088,2;101,0;7,8;160,0
2018-09-22;13:51:46;495;20,479587;38,160719;11,2;1094,6;104,0;7,7;158,0
2018-09-22;13:51:52;501;20,479603;38,160770;11,2;1101,8;107,0;5,6;160,0
2018-09-22;13:51:55;504;20,479610;38,160710;11,2;1108,5;110,0;7,8;164,0
2018-09-22;13:51:57;506;20,479601;38,160664;11,4;1113,6;113,0;8,9;154,0
2018-09-22;13:51:59;508;20,479596;38,160626;11,4;1117,9;116,0;8,9;156,0
2018-09-22;13:52:01;510;20,479599;38,160590;11,4;1121,9;119,0;8,1;156,0
2018-09-22;13:52:03;512;20,479629;38,160555;11,4;1126,6;123,0;7,9;158,0
2018-09-22;13:52:05;514;20,479676;38,160533;11,6;1131,3;127,0;8,1;158,0
2018-09-22;13:52:08;517;20,479730;38,160516;12,0;1136,4;130,0;8,1;156,0
2018-09-22;13:52:10;519;20,479798;38,160502;12,4;1142,6;133,0;8,2;158,0
2018-09-22;13:52:12;521;20,479857;38,160504;12,6;1147,8;136,0;8,2;158,0
2018-09-22;13:52:15;524;20,479912;38,160517;13,0;1154,7;139,0;8,3;158,0
2018-09-22;13:52:16;525;20,479947;38,160542;13,2;1156,9;140,0;8,3;158,0
2018-09-22;13:52:24;533;20,480045;38,160718;13,6;1178,3;141,0;8,6;156,0
2018-09-22;13:52:31;540;20,480187;38,160806;14,4;1194,5;141,0;8,7;158,0
2018-09-22;13:52:33;542;20,480221;38,160807;14,6;1197,5;141,0;8,6;158,0
2018-09-22;13:52:41;550;20,480454;38,160790;15,8;1218,5;142,0;8,5;160,0
2018-09-22;13:52:50;559;20,480691;38,160723;17,2;1240,6;144,0;8,8;158,0
2018-09-22;13:52:57;566;20,480878;38,160674;18,2;1257,8;147,0;8,8;160,0
2018-09-22;13:53:05;574;20,481073;38,160625;19,6;1275,8;150,0;8,8;162,0
2018-09-22;13:53:15;584;20,481329;38,160530;22,0;1300,5;152,0;8,8;162,0
2018-09-22;13:53:22;591;20,481505;38,160449;23,8;1318,3;155,0;8,9;158,0
2018-09-22;13:53:30;599;20,481716;38,160370;25,6;1338,7;157,0;9,0;162,0
2018-09-22;13:53:39;608;20,481957;38,160347;27,0;1360,1;158,0;9,0;162,0
2018-09-22;13:53:49;618;20,482196;38,160366;28,6;1381,2;158,0;8,7;160,0
2018-09-22;13:53:52;621;20,482258;38,160366;29,4;1386,4;158,0;8,5;158,0
2018-09-22;13:54:02;631;20,482501;38,160378;32,0;1407,8;160,0;8,2;162,0
2018-09-22;13:54:09;638;20,482658;38,160303;33,6;1424,2;160,0;8,5;160,0
2018-09-22;13:54:19;648;20,482673;38,160110;33,4;1445,9;159,0;8,2;160,0
2018-09-22;13:54:28;657;20,482672;38,159915;33,4;1467,4;158,0;8,2;158,0
2018-09-22;13:54:35;664;20,482662;38,159759;33,4;1484,8;155,0;8,3;160,0
2018-09-22;13:54:43;672;20,482630;38,159575;32,8;1505,2;154,0;8,5;158,0
2018-09-22;13:54:50;679;20,482601;38,159422;32,4;1522,3;151,0;8,6;160,0
2018-09-22;13:54:58;687;20,482601;38,159240;32,2;1542,5;149,0;8,6;160,0
2018-09-22;13:55:06;695;20,482576;38,159057;32,2;1563,0;147,0;8,8;160,0
2018-09-22;13:55:12;701;20,482600;38,158950;32,6;1575,8;145,0;8,8;160,0
