Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2019-09-28;11:29:45;0;18,176470;59,359837;26,2;0,0;84,0;0,2;0,0
2019-09-28;11:29:48;3;18,176474;59,359839;26,2;0,3;81,0;0,1;0,0
2019-09-28;11:30:06;21;18,176499;59,359849;26,2;3,4;84,0;0,7;118,0
2019-09-28;11:30:08;23;18,176535;59,359843;26,2;5,6;87,0;2,2;118,0
2019-09-28;11:30:10;25;18,176585;59,359836;26,2;8,6;89,0;3,3;118,0
2019-09-28;11:30:12;27;18,176664;59,359829;26,2;13,1;92,0;3,9;194,0
2019-09-28;11:30:15;30;18,176810;59,359817;26,2;21,5;95,0;10,0;196,0
2019-09-28;11:30:19;34;18,177006;59,359801;26,4;32,8;98,0;10,7;190,0
2019-09-28;11:30:21;36;18,177096;59,359789;26,6;38,1;101,0;10,5;188,0
2019-09-28;11:30:26;41;18,177326;59,359759;26,6;51,6;104,0;9,9;182,0
2019-09-28;11:30:30;45;18,177504;59,359739;26,6;62,0;108,0;9,8;184,0
2019-09-28;11:30:34;49;18,177677;59,359716;26,8;72,1;111,0;9,5;186,0
2019-09-28;11:30:42;57;18,178021;59,359674;27,2;92,3;114,0;9,2;184,0
2019-09-28;11:30:45;60;18,178146;59,359656;27,2;99,6;117,0;9,2;184,0
2019-09-28;11:30:50;65;18,178367;59,359629;27,2;112,5;120,0;9,1;182,0
2019-09-28;11:30:58;73;18,178714;59,359563;27,0;133,6;122,0;9,2;184,0
2019-09-28;11:31:06;81;18,179065;59,359510;26,4;154,4;125,0;9,2;180,0
2019-09-28;11:31:12;87;18,179306;59,359469;26,0;168,9;128,0;9,2;180,0
2019-09-28;11:31:24;99;18,179651;59,359406;25,8;189,7;130,0;8,5;174,0
2019-09-28;11:31:31;106;18,179818;59,359377;25,6;199,8;127,0;7,0;178,0
2019-09-28;11:31:42;117;18,180170;59,359338;25,6;220,3;125,0;6,9;170,0
2019-09-28;11:31:53;128;18,180528;59,359278;26,6;241,8;126,0;7,1;172,0
2019-09-28;11:32:04;139;18,180884;59,359248;26,8;262,4;125,0;7,1;176,0
2019-09-28;11:32:15;150;18,181241;59,359204;27,4;283,2;125,0;7,1;176,0
2019-09-28;11:32:25;160;18,181581;59,359126;27,8;304,7;126,0;7,1;180,0
2019-09-28;11:32:34;169;18,181885;59,359031;27,6;325,0;127,0;7,4;180,0
2019-09-28;11:32:41;176;18,182180;59,358931;28,2;345,1;128,0;7,8;184,0
2019-09-28;11:32:49;184;18,182384;59,358773;29,6;366,5;130,0;8,4;182,0
2019-09-28;11:32:55;190;18,182431;59,358634;30,6;382,3;133,0;8,4;184,0
2019-09-28;11:33:03;198;18,182390;59,358440;32,4;404,0;135,0;8,7;182,0
2019-09-28;11:33:11;206;18,182366;59,358259;33,2;424,3;138,0;8,7;180,0
2019-09-28;11:33:20;215;18,182365;59,358152;33,6;436,3;138,0;4,6;122,0
2019-09-28;11:33:31;226;18,182579;59,357998;33,4;457,6;138,0;7,8;182,0
2019-09-28;11:33:39;234;18,182770;59,357841;33,4;478,3;139,0;8,3;182,0
2019-09-28;11:33:48;243;18,182856;59,357650;32,8;500,2;140,0;8,6;180,0
