Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2018-02-25;06:00:09;0;13,295069;61,108053;387,4;1,6;81,0;0,0;0,0
2018-02-25;06:00:21;12;13,295110;61,108049;387,6;4,3;78,0;0,1;0,0
2018-02-25;06:00:37;28;13,295014;61,108133;387,8;13,8;75,0;3,7;0,0
2018-02-25;06:00:43;34;13,294991;61,108147;387,8;15,7;79,0;0,1;0,0
2018-02-25;06:00:47;38;13,294982;61,108151;387,8;16,4;83,0;0,1;0,0
2018-02-25;06:00:48;39;13,294983;61,108150;387,8;16,4;86,0;0,1;0,0
2018-02-25;06:00:49;40;13,294982;61,108148;387,8;16,5;92,0;0,1;0,0
2018-02-25;06:00:50;41;13,294981;61,108147;387,8;16,6;92,0;0,1;0,0
2018-02-25;06:00:55;46;13,294978;61,108145;387,8;17,1;89,0;0,2;0,0
2018-02-25;06:00:58;49;13,294972;61,108146;387,8;17,5;86,0;0,2;0,0
2018-02-25;06:01:03;54;13,294962;61,108150;387,8;18,2;82,0;0,1;0,0
2018-02-25;06:02:02;113;13,294877;61,108246;387,8;30,8;86,0;4,1;0,0
2018-02-25;06:02:04;115;13,294864;61,108266;387,8;33,2;88,0;4,5;0,0
2018-02-25;06:02:06;117;13,294856;61,108284;387,8;35,3;89,0;4,9;0,0
2018-02-25;06:02:12;123;13,294804;61,108331;387,6;41,2;92,0;3,7;0,0
2018-02-25;06:02:15;126;13,294780;61,108355;387,4;44,2;95,0;3,5;0,0
2018-02-25;06:02:21;132;13,294737;61,108409;387,2;50,5;98,0;3,7;0,0
2018-02-25;06:02:29;140;13,294648;61,108514;387,0;63,3;101,0;4,3;0,0
2018-02-25;06:02:34;145;13,294615;61,108552;386,8;67,8;104,0;3,8;0,0
2018-02-25;06:02:35;146;13,294606;61,108564;386,8;69,3;101,0;3,8;0,0
2018-02-25;06:02:47;158;13,294447;61,108737;386,2;90,3;103,0;5,0;0,0
2018-02-25;06:02:55;166;13,294271;61,108915;385,6;112,3;103,0;11,2;0,0
2018-02-25;06:02:58;169;13,294209;61,108985;385,2;120,8;107,0;11,6;0,0
2018-02-25;06:03:05;176;13,294058;61,109151;384,8;141,0;107,0;10,9;0,0
2018-02-25;06:03:13;184;13,293900;61,109320;384,2;161,6;107,0;9,6;0,0
2018-02-25;06:03:21;192;13,293742;61,109500;383,6;183,5;109,0;9,6;0,0
2018-02-25;06:03:29;200;13,293599;61,109681;383,0;205,0;108,0;9,5;0,0
2018-02-25;06:03:37;208;13,293458;61,109862;382,6;226,6;106,0;9,3;0,0
2018-02-25;06:03:44;215;13,293335;61,110045;382,2;248,0;105,0;9,5;0,0
2018-02-25;06:03:51;222;13,293193;61,110235;381,6;270,5;104,0;9,9;0,0
2018-02-25;06:03:57;228;13,293024;61,110395;381,0;290,6;104,0;10,2;0,0
2018-02-25;06:04:05;236;13,292852;61,110571;380,4;312,3;104,0;10,4;0,0
2018-02-25;06:04:13;244;13,292746;61,110755;380,0;333,6;104,0;9,9;0,0
2018-02-25;06:04:21;252;13,292675;61,110945;379,8;355,0;103,0;9,9;0,0
2018-02-25;06:04:30;261;13,292632;61,111136;379,8;376,2;103,0;9,4;0,0
2018-02-25;06:04:38;269;13,292584;61,111318;379,8;396,6;103,0;9,3;0,0
2018-02-25;06:04:46;277;13,292546;61,111501;379,8;417,1;104,0;9,4;0,0
2018-02-25;06:04:55;286;13,292503;61,111696;379,8;438,8;104,0;9,2;0,0
2018-02-25;06:05:03;294;13,292458;61,111890;380,0;460,6;105,0;9,5;0,0
2018-02-25;06:05:13;304;13,292413;61,112083;380,6;482,2;105,0;6,3;0,0
2018-02-25;06:05:22;313;13,292366;61,112272;381,4;503,5;104,0;8,2;0,0
2018-02-25;06:05:24;315;13,292356;61,112317;381,6;508,4;108,0;7,8;0,0
2018-02-25;06:05:25;316;13,292355;61,112337;381,6;510,7;114,0;7,5;0,0
2018-02-25;06:05:30;321;13,292331;61,112454;382,2;523,6;116,0;8,4;0,0
2018-02-25;06:05:33;324;13,292313;61,112527;382,4;531,8;112,0;9,0;0,0
2018-02-25;06:05:36;327;13,292295;61,112609;382,6;540,9;93,0;8,6;0,0
2018-02-25;06:05:37;328;13,292289;61,112634;382,8;543,7;83,0;8,6;0,0
2018-02-25;06:05:38;329;13,292284;61,112659;382,8;546,5;77,0;8,6;0,0
2018-02-25;06:05:39;330;13,292279;61,112683;383,0;549,2;77,0;9,0;0,0
2018-02-25;06:05:43;334;13,292268;61,112781;383,4;560,2;80,0;8,6;0,0
2018-02-25;06:05:45;336;13,292253;61,112837;383,6;566,4;83,0;8,4;0,0
2018-02-25;06:05:46;337;13,292246;61,112863;383,8;569,4;90,0;8,7;0,0
2018-02-25;06:05:47;338;13,292239;61,112893;383,8;572,7;95,0;9,1;0,0
2018-02-25;06:05:49;340;13,292233;61,112951;384,0;579,1;98,0;9,1;0,0
2018-02-25;06:05:56;347;13,292181;61,113146;384,8;601,1;99,0;9,9;0,0
