Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2018-09-20;14:55:45;0;20,483303;38,154831;29,2;0,2;76,0;0,0;0,0
2018-09-20;14:55:46;1;20,483295;38,154833;29,2;0,9;76,0;0,0;0,0
2018-09-20;14:55:53;8;20,483245;38,154874;29,2;7,3;77,0;3,3;110,0
2018-09-20;14:55:58;13;20,483162;38,154961;29,6;19,4;80,0;7,7;156,0
2018-09-20;14:56:00;15;20,483117;38,154998;29,6;25,0;83,0;9,3;158,0
2018-09-20;14:56:02;17;20,483072;38,155035;29,8;30,6;86,0;10,0;160,0
2018-09-20;14:56:04;19;20,483034;38,155076;29,8;36,3;89,0;10,0;160,0
2018-09-20;14:56:06;21;20,482998;38,155114;30,0;41,6;92,0;10,1;160,0
2018-09-20;14:56:08;23;20,482962;38,155150;30,0;46,6;95,0;10,1;160,0
2018-09-20;14:56:10;25;20,482925;38,155184;30,0;51,5;98,0;9,9;160,0
2018-09-20;14:56:12;27;20,482895;38,155223;30,0;56,6;101,0;9,6;160,0
2018-09-20;14:56:15;30;20,482846;38,155277;30,0;63,9;104,0;9,4;158,0
2018-09-20;14:56:20;35;20,482782;38,155366;30,2;75,4;107,0;8,7;156,0
2018-09-20;14:56:24;39;20,482719;38,155428;30,2;84,2;110,0;8,7;154,0
2018-09-20;14:56:33;48;20,482586;38,155584;30,2;105,0;112,0;8,6;158,0
2018-09-20;14:56:41;56;20,482472;38,155728;29,4;123,9;115,0;8,6;158,0
2018-09-20;14:56:50;65;20,482344;38,155898;28,6;145,9;117,0;8,6;158,0
2018-09-20;14:56:56;71;20,482254;38,156027;28,4;162,2;120,0;8,7;160,0
2018-09-20;14:57:03;78;20,482148;38,156170;28,2;180,5;123,0;8,8;158,0
2018-09-20;14:57:12;87;20,482016;38,156333;28,6;202,0;124,0;8,5;158,0
2018-09-20;14:57:21;96;20,481881;38,156504;29,0;224,4;126,0;8,6;158,0
2018-09-20;14:57:29;104;20,481770;38,156666;28,8;244,8;129,0;9,0;162,0
2018-09-20;14:57:37;112;20,481697;38,156838;28,8;265,1;130,0;9,0;160,0
2018-09-20;14:57:45;120;20,481683;38,157031;28,8;286,5;132,0;9,1;160,0
2018-09-20;14:57:53;128;20,481734;38,157227;29,4;309,0;132,0;9,3;160,0
2018-09-20;14:58:01;136;20,481843;38,157403;30,4;330,6;134,0;9,3;160,0
