Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2015-05-02;08:01:27;0;17,171584;60,648835;13,6;0,0;78,0;0,0;0,0
2015-05-02;08:01:28;1;17,171580;60,648837;13,6;0,0;77,0;0,0;0,0
2015-05-02;08:01:33;6;17,171550;60,648815;13,6;2,7;79,0;1,6;0,0
2015-05-02;08:01:35;8;17,171548;60,648798;13,6;4,7;79,0;3,5;0,0
2015-05-02;08:01:38;11;17,171511;60,648764;13,6;9,0;96,0;5,2;0,0
2015-05-02;08:01:39;12;17,171498;60,648748;13,8;10,9;96,0;6,7;0,0
2015-05-02;08:01:42;15;17,171466;60,648700;13,8;16,5;104,0;6,7;0,0
2015-05-02;08:01:43;16;17,171458;60,648689;13,8;17,8;104,0;4,7;0,0
2015-05-02;08:01:49;22;17,171524;60,648629;14,0;25,6;104,0;4,7;0,0
2015-05-02;08:01:51;24;17,171540;60,648601;14,0;28,5;110,0;5,1;0,0
2015-05-02;08:01:52;25;17,171548;60,648588;14,0;30,0;110,0;5,6;0,0
2015-05-02;08:01:53;26;17,171554;60,648574;14,0;31,6;119,0;5,7;0,0
2015-05-02;08:01:54;27;17,171564;60,648550;14,0;34,2;119,0;9,3;0,0
2015-05-02;08:02:00;33;17,171578;60,648421;14,4;48,5;119,0;8,6;0,0
2015-05-02;08:02:01;34;17,171578;60,648398;14,4;51,0;126,0;9,2;0,0
2015-05-02;08:02:02;35;17,171572;60,648379;14,4;53,2;126,0;7,6;0,0
2015-05-02;08:02:09;42;17,171609;60,648251;14,6;67,4;132,0;7,3;0,0
2015-05-02;08:02:10;43;17,171625;60,648233;14,6;69,6;132,0;8,0;0,0
2015-05-02;08:02:16;49;17,171685;60,648095;15,0;85,2;135,0;9,3;0,0
2015-05-02;08:02:20;53;17,171678;60,647986;15,2;97,4;140,0;11,0;0,0
2015-05-02;08:02:21;54;17,171683;60,647959;15,2;100,3;140,0;10,6;0,0
2015-05-02;08:02:27;60;17,171663;60,647815;15,4;116,5;140,0;9,7;0,0
2015-05-02;08:02:28;61;17,171654;60,647792;15,6;119,0;146,0;9,3;0,0
2015-05-02;08:02:30;63;17,171638;60,647748;15,6;124,1;153,0;9,1;0,0
2015-05-02;08:02:32;65;17,171617;60,647702;15,6;129,2;159,0;9,2;0,0
2015-05-02;08:02:33;66;17,171608;60,647679;15,8;131,9;159,0;9,7;0,0
2015-05-02;08:02:39;72;17,171557;60,647532;16,0;148,4;160,0;9,9;0,0
2015-05-02;08:02:44;77;17,171491;60,647433;16,2;159,9;160,0;8,3;0,0
2015-05-02;08:02:49;82;17,171406;60,647333;16,4;172,1;162,0;8,7;0,0
2015-05-02;08:02:55;88;17,171326;60,647249;16,6;181,4;163,0;5,6;0,0
2015-05-02;08:03:01;94;17,171230;60,647156;16,8;192,4;163,0;6,6;0,0
2015-05-02;08:03:07;100;17,171194;60,647062;17,0;203,0;163,0;6,3;0,0
2015-05-02;08:03:14;107;17,171221;60,646941;17,2;216,5;164,0;6,9;0,0
2015-05-02;08:03:20;113;17,171281;60,646854;17,4;226,7;163,0;6,1;0,0
2015-05-02;08:03:21;114;17,171298;60,646837;17,4;228,8;163,0;7,7;0,0
2015-05-02;08:03:27;120;17,171383;60,646733;17,6;241,5;163,0;7,6;0,0
2015-05-02;08:03:31;124;17,171433;60,646665;17,8;249,6;171,0;7,3;0,0
2015-05-02;08:03:32;125;17,171459;60,646650;17,8;251,8;171,0;8,1;0,0
