Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2017-08-05;10:15:00;0;17,171064;60,649166;13,0;0,0;90,0;0,2;0,0
2017-08-05;10:15:01;1;17,171061;60,649167;13,0;0,2;90,0;0,0;0,0
2017-08-05;10:15:10;10;17,171039;60,648970;13,4;22,2;90,0;11,8;168,0
2017-08-05;10:15:13;13;17,171078;60,648919;13,4;28,5;89,0;9,8;170,0
2017-08-05;10:15:14;14;17,171144;60,648883;13,6;34,0;94,0;9,9;168,0
2017-08-05;10:15:16;16;17,171171;60,648864;13,6;36,5;97,0;10,3;164,0
2017-08-05;10:15:19;19;17,171217;60,648794;13,6;44,8;101,0;10,9;168,0
2017-08-05;10:15:20;20;17,171213;60,648770;13,8;47,5;104,0;10,9;168,0
2017-08-05;10:15:21;21;17,171209;60,648746;13,8;50,2;108,0;11,0;166,0
2017-08-05;10:15:22;22;17,171202;60,648721;13,8;53,0;111,0;11,0;166,0
2017-08-05;10:15:27;27;17,171192;60,648606;14,0;65,8;115,0;10,3;168,0
2017-08-05;10:15:29;29;17,171209;60,648547;14,2;72,4;126,0;10,1;168,0
2017-08-05;10:15:30;30;17,171209;60,648547;14,2;72,4;126,0;10,1;168,0
2017-08-05;10:15:31;31;17,171219;60,648525;14,2;75,0;129,0;9,9;168,0
2017-08-05;10:15:33;33;17,171232;60,648459;14,4;82,4;134,0;9,8;172,0
2017-08-05;10:15:34;34;17,171231;60,648424;14,4;86,3;134,0;9,9;172,0
2017-08-05;10:15:36;36;17,171235;60,648355;14,6;93,9;131,0;10,1;172,0
2017-08-05;10:15:41;41;17,171232;60,648162;15,0;115,6;135,0;11,5;172,0
2017-08-05;10:15:42;42;17,171213;60,648127;15,0;119,6;139,0;11,5;172,0
2017-08-05;10:15:43;43;17,171196;60,648090;15,0;123,8;136,0;11,6;172,0
2017-08-05;10:15:44;44;17,171186;60,648054;15,2;127,8;132,0;11,6;168,0
2017-08-05;10:15:46;46;17,171161;60,647992;15,2;134,8;135,0;11,7;168,0
2017-08-05;10:15:47;47;17,171150;60,647956;15,4;138,8;138,0;11,7;168,0
2017-08-05;10:15:48;48;17,171138;60,647919;15,4;143,0;141,0;11,7;166,0
2017-08-05;10:15:49;49;17,171108;60,647847;15,6;151,2;148,0;11,8;166,0
2017-08-05;10:15:50;50;17,171108;60,647847;15,6;151,2;148,0;11,8;166,0
2017-08-05;10:15:56;56;17,170978;60,647650;16,0;174,4;146,0;12,0;168,0
2017-08-05;10:16:04;64;17,170890;60,647457;16,4;196,8;142,0;10,9;166,0
2017-08-05;10:16:09;69;17,170932;60,647342;16,6;209,8;145,0;10,5;168,0
2017-08-05;10:16:10;70;17,170940;60,647323;16,6;212,0;148,0;10,5;168,0
2017-08-05;10:16:11;71;17,170947;60,647300;16,6;214,5;151,0;10,4;168,0
2017-08-05;10:16:12;72;17,170956;60,647275;16,6;217,4;148,0;10,3;168,0
2017-08-05;10:16:18;78;17,171052;60,647122;17,0;235,2;151,0;10,1;170,0
2017-08-05;10:16:25;85;17,171204;60,646955;17,2;255,8;153,0;10,0;168,0
2017-08-05;10:16:29;89;17,171299;60,646847;17,4;268,9;150,0;10,0;168,0
2017-08-05;10:16:36;96;17,171454;60,646657;17,8;291,7;152,0;10,0;162,0
2017-08-05;10:16:40;100;17,171511;60,646550;18,0;304,1;153,0;10,0;170,0
2017-08-05;10:16:44;104;17,171436;60,646433;18,2;317,5;156,0;10,1;164,0
2017-08-05;10:16:50;110;17,171299;60,646237;18,6;340,3;158,0;10,5;166,0
2017-08-05;10:16:56;116;17,171164;60,646051;19,0;362,3;158,0;10,9;170,0
2017-08-05;10:17:04;124;17,171316;60,645886;19,2;383,4;157,0;9,8;168,0
2017-08-05;10:17:10;130;17,171613;60,645718;19,4;403,8;157,0;10,4;170,0
2017-08-05;10:17:16;136;17,171693;60,645528;19,8;425,5;158,0;11,0;166,0
2017-08-05;10:17:22;142;17,171805;60,645338;20,2;447,5;157,0;10,8;166,0
2017-08-05;10:17:27;147;17,171896;60,645147;20,6;469,5;157,0;11,9;170,0
2017-08-05;10:17:32;152;17,172004;60,644973;20,8;489,7;155,0;12,3;168,0
2017-08-05;10:17:38;158;17,172120;60,644801;20,8;510,0;156,0;12,1;168,0
2017-08-05;10:17:45;165;17,172337;60,644629;21,0;532,7;156,0;11,7;166,0
2017-08-05;10:17:51;171;17,172370;60,644446;21,2;553,4;155,0;11,9;170,0
2017-08-05;10:17:57;177;17,172286;60,644265;21,4;574,0;152,0;12,0;166,0
2017-08-05;10:18:03;183;17,172202;60,644083;21,6;594,8;153,0;11,9;166,0
2017-08-05;10:18:09;189;17,172015;60,643895;21,8;618,3;156,0;12,1;168,0
2017-08-05;10:18:15;195;17,171725;60,643746;22,0;641,2;154,0;12,2;170,0
2017-08-05;10:18:20;200;17,171454;60,643636;22,2;660,5;157,0;12,5;168,0
2017-08-05;10:18:27;207;17,171165;60,643494;22,4;683,1;155,0;12,5;170,0
2017-08-05;10:18:33;213;17,170962;60,643362;22,6;701,6;152,0;12,2;170,0
2017-08-05;10:18:39;219;17,170721;60,643268;22,6;718,6;149,0;12,0;170,0
2017-08-05;10:18:45;225;17,170394;60,643159;22,8;740,2;148,0;11,9;168,0
2017-08-05;10:18:51;231;17,170115;60,643150;23,0;756,1;150,0;11,9;170,0
2017-08-05;10:18:58;238;17,169809;60,643260;22,8;776,6;148,0;11,6;174,0
2017-08-05;10:19:04;244;17,169455;60,643326;22,8;797,8;147,0;11,8;170,0
2017-08-05;10:19:10;250;17,169082;60,643235;23,0;820,6;149,0;12,0;170,0
2017-08-05;10:19:17;257;17,168830;60,643085;23,2;842,4;149,0;12,0;172,0
2017-08-05;10:19:24;264;17,168633;60,642917;23,4;864,0;148,0;11,8;170,0
2017-08-05;10:19:30;270;17,168505;60,642746;23,6;884,3;147,0;11,8;168,0
2017-08-05;10:19:35;275;17,168326;60,642578;23,8;905,5;146,0;11,9;170,0
2017-08-05;10:19:41;281;17,168081;60,642409;24,2;928,6;147,0;12,1;168,0
2017-08-05;10:19:46;286;17,167827;60,642279;24,2;948,7;145,0;12,3;170,0
2017-08-05;10:19:52;292;17,167538;60,642129;24,6;971,8;147,0;12,5;170,0
2017-08-05;10:19:58;298;17,167198;60,642055;24,6;992,1;148,0;12,7;174,0
2017-08-05;10:20:00;300;17,167044;60,642035;24,8;1000,9;147,0;12,6;176,0
2017-08-05;10:20:08;308;17,166724;60,641928;24,8;1022,4;147,0;12,1;172,0
2017-08-05;10:20:15;315;17,166469;60,641773;25,2;1044,7;146,0;12,0;172,0
2017-08-05;10:20:21;321;17,166301;60,641624;25,2;1063,6;149,0;11,9;172,0
2017-08-05;10:20:29;329;17,166297;60,641439;25,4;1084,6;150,0;11,6;168,0
2017-08-05;10:20:36;336;17,166406;60,641261;25,6;1105,4;148,0;11,4;168,0
2017-08-05;10:20:43;343;17,166556;60,641082;25,8;1127,0;146,0;11,2;168,0
2017-08-05;10:20:50;350;17,166662;60,640880;26,0;1150,2;146,0;11,3;166,0
2017-08-05;10:20:56;356;17,166708;60,640699;26,0;1170,6;144,0;11,4;168,0
2017-08-05;10:21:03;363;17,166676;60,640508;26,2;1192,1;143,0;11,3;168,0
2017-08-05;10:21:07;367;17,166611;60,640396;26,4;1205,0;140,0;11,3;168,0
2017-08-05;10:21:14;374;17,166507;60,640208;26,6;1226,8;140,0;11,3;168,0
2017-08-05;10:21:21;381;17,166407;60,640034;26,8;1246,8;140,0;11,2;168,0
2017-08-05;10:21:28;388;17,166375;60,639831;27,0;1269,5;139,0;11,2;168,0
2017-08-05;10:21:36;396;17,166292;60,639636;27,2;1291,8;139,0;11,0;168,0
2017-08-05;10:21:43;403;17,166224;60,639439;27,4;1314,2;141,0;11,0;168,0
2017-08-05;10:21:49;409;17,166171;60,639251;27,6;1335,3;142,0;11,1;168,0
2017-08-05;10:21:55;415;17,166131;60,639059;27,8;1357,0;144,0;11,2;170,0
2017-08-05;10:22:01;421;17,166017;60,638878;28,0;1378,1;143,0;11,3;170,0
2017-08-05;10:22:07;427;17,165955;60,638677;28,2;1400,8;145,0;11,4;168,0
2017-08-05;10:22:13;433;17,165811;60,638480;28,4;1424,1;145,0;11,6;168,0
2017-08-05;10:22:19;439;17,165659;60,638293;28,6;1446,5;144,0;11,8;168,0
2017-08-05;10:22:25;445;17,165589;60,638115;28,8;1466,8;142,0;11,9;168,0
2017-08-05;10:22:31;451;17,165384;60,637960;29,0;1487,6;140,0;12,0;170,0
2017-08-05;10:22:37;457;17,165202;60,637805;29,2;1507,6;142,0;12,0;170,0
2017-08-05;10:22:44;464;17,165013;60,637626;29,4;1530,2;145,0;12,0;170,0
2017-08-05;10:22:45;465;17,164914;60,637602;29,4;1536,3;145,0;12,0;170,0
2017-08-05;10:22:52;472;17,164549;60,637602;29,6;1556,3;144,0;12,0;172,0
2017-08-05;10:22:58;478;17,164197;60,637560;29,6;1576,7;146,0;11,9;168,0
2017-08-05;10:23:04;484;17,163937;60,637424;29,8;1597,5;146,0;12,0;170,0
