Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2017-10-02;12:46:49;0;20,484046;38,155002;37,8;0,0;72,0;0,0;0,0
2017-10-02;12:46:50;1;20,484046;38,155001;37,8;0,0;72,0;0,0;0,0
2017-10-02;12:46:57;8;20,483980;38,155075;37,4;10,2;84,0;6,0;118,0
2017-10-02;12:46:58;9;20,483968;38,155093;37,4;12,4;108,0;6,7;156,0
2017-10-02;12:46:59;10;20,483953;38,155110;37,4;14,7;108,0;6,7;156,0
2017-10-02;12:47:01;12;20,483914;38,155133;37,2;19,0;114,0;7,6;156,0
2017-10-02;12:47:02;13;20,483894;38,155137;37,0;20,8;120,0;7,6;158,0
2017-10-02;12:47:03;14;20,483875;38,155134;36,8;22,4;120,0;7,6;158,0
2017-10-02;12:47:06;17;20,483816;38,155098;35,8;28,9;129,0;7,7;156,0
2017-10-02;12:47:07;18;20,483795;38,155084;35,4;31,3;132,0;7,9;154,0
2017-10-02;12:47:08;19;20,483772;38,155072;35,2;33,8;132,0;7,9;154,0
2017-10-02;12:47:09;20;20,483749;38,155061;34,8;36,2;141,0;8,0;156,0
2017-10-02;12:47:10;21;20,483726;38,155051;34,6;38,4;141,0;8,1;156,0
2017-10-02;12:47:11;22;20,483702;38,155040;34,4;40,9;145,0;8,2;156,0
2017-10-02;12:47:21;32;20,483499;38,154936;31,8;62,1;145,0;8,2;160,0
2017-10-02;12:47:23;34;20,483459;38,154914;31,2;66,4;152,0;8,2;170,0
2017-10-02;12:47:24;35;20,483439;38,154903;31,0;68,6;152,0;8,1;170,0
2017-10-02;12:47:26;37;20,483401;38,154879;30,4;72,8;155,0;8,2;170,0
2017-10-02;12:47:31;42;20,483278;38,154863;29,4;84,5;155,0;8,2;174,0
2017-10-02;12:47:35;46;20,483204;38,154947;29,8;96,0;158,0;8,6;164,0
2017-10-02;12:47:43;54;20,483070;38,155111;30,6;117,7;159,0;9,0;162,0
2017-10-02;12:47:51;62;20,482928;38,155277;30,6;139,9;160,0;9,3;162,0
2017-10-02;12:47:59;70;20,482784;38,155447;30,8;162,6;163,0;9,6;164,0
2017-10-02;12:48:07;78;20,482656;38,155619;31,0;184,8;163,0;9,7;164,0
2017-10-02;12:48:15;86;20,482551;38,155801;30,4;207,0;164,0;9,8;162,0
2017-10-02;12:48:22;93;20,482415;38,155948;29,4;227,2;163,0;9,8;160,0
2017-10-02;12:48:30;101;20,482277;38,156113;29,0;249,2;161,0;9,9;160,0
2017-10-02;12:48:37;108;20,482159;38,156275;29,0;269,9;162,0;10,0;162,0
2017-10-02;12:48:44;115;20,482042;38,156438;29,4;290,7;161,0;10,1;160,0
2017-10-02;12:48:51;122;20,481916;38,156601;29,6;311,9;162,0;10,2;162,0
2017-10-02;12:48:52;123;20,481896;38,156624;29,6;315,0;158,0;10,2;162,0
2017-10-02;12:48:58;129;20,481793;38,156763;29,2;332,9;154,0;10,3;164,0
2017-10-02;12:48:59;130;20,481781;38,156789;29,2;335,9;154,0;10,3;164,0
2017-10-02;12:49:06;137;20,481729;38,156976;29,2;357,2;149,0;10,4;164,0
2017-10-02;12:49:07;138;20,481726;38,157003;29,2;360,2;149,0;10,4;164,0
2017-10-02;12:49:09;140;20,481726;38,157056;29,2;366,1;153,0;10,4;164,0
2017-10-02;12:49:11;142;20,481729;38,157108;29,2;371,9;156,0;10,5;164,0
2017-10-02;12:49:18;149;20,481800;38,157284;30,0;392,5;158,0;10,5;164,0
2017-10-02;12:49:22;153;20,481863;38,157386;30,6;405,0;161,0;10,5;164,0
2017-10-02;12:49:29;160;20,481982;38,157550;31,6;426,0;164,0;10,6;164,0
2017-10-02;12:49:34;165;20,482058;38,157665;32,0;440,4;159,0;10,6;166,0
2017-10-02;12:49:36;167;20,482089;38,157712;32,0;446,3;156,0;10,6;164,0
2017-10-02;12:49:41;172;20,482169;38,157825;32,0;460,7;159,0;10,6;164,0
2017-10-02;12:49:44;175;20,482217;38,157893;32,0;469,3;162,0;10,6;166,0
2017-10-02;12:49:51;182;20,482309;38,158064;31,8;489,9;162,0;10,6;164,0
2017-10-02;12:49:52;183;20,482321;38,158088;31,8;492,8;157,0;10,7;164,0
2017-10-02;12:49:53;184;20,482335;38,158112;31,8;495,8;157,0;10,7;164,0
2017-10-02;12:50:00;191;20,482419;38,158283;31,6;516,1;159,0;10,7;164,0
2017-10-02;12:50:05;196;20,482449;38,158403;31,2;529,7;162,0;10,7;166,0
2017-10-02;12:50:10;201;20,482468;38,158527;31,2;543,6;158,0;10,6;166,0
2017-10-02;12:50:15;206;20,482483;38,158650;31,6;557,3;161,0;10,6;166,0
2017-10-02;12:50:19;210;20,482487;38,158755;31,6;568,9;157,0;10,6;168,0
2017-10-02;12:50:21;212;20,482492;38,158805;31,8;574,5;160,0;10,6;166,0
2017-10-02;12:50:27;218;20,482505;38,158962;31,6;591,9;163,0;10,6;168,0
2017-10-02;12:50:30;221;20,482515;38,159037;31,6;600,3;158,0;10,6;166,0
2017-10-02;12:50:31;222;20,482515;38,159063;31,6;603,2;159,0;10,6;166,0
2017-10-02;12:50:37;228;20,482527;38,159214;31,6;620,0;162,0;10,5;166,0
2017-10-02;12:50:44;235;20,482536;38,159397;31,8;640,4;163,0;10,5;166,0
2017-10-02;12:50:47;238;20,482543;38,159476;31,8;649,1;160,0;10,5;166,0
2017-10-02;12:50:53;244;20,482563;38,159633;32,2;666,7;163,0;10,5;166,0
2017-10-02;12:51:01;252;20,482591;38,159835;32,6;689,2;164,0;10,5;166,0
2017-10-02;12:51:09;260;20,482599;38,160039;32,6;711,9;165,0;10,5;166,0
2017-10-02;12:51:16;267;20,482605;38,160223;32,8;732,3;165,0;10,5;166,0
2017-10-02;12:51:23;274;20,482633;38,160404;33,4;752,5;165,0;10,5;168,0
2017-10-02;12:51:25;276;20,482633;38,160453;33,4;758,0;161,0;10,5;168,0
2017-10-02;12:51:26;277;20,482633;38,160477;33,6;760,7;158,0;10,5;168,0
2017-10-02;12:51:27;278;20,482636;38,160500;33,6;763,2;154,0;10,5;168,0
2017-10-02;12:51:28;279;20,482638;38,160525;33,6;766,0;154,0;10,5;168,0
2017-10-02;12:51:35;286;20,482632;38,160708;33,8;786,3;154,0;10,4;168,0
2017-10-02;12:51:37;288;20,482630;38,160764;33,8;792,5;151,0;10,4;168,0
2017-10-02;12:51:44;295;20,482630;38,160950;34,0;813,1;151,0;10,5;168,0
2017-10-02;12:51:46;297;20,482634;38,160999;34,2;818,6;148,0;10,5;166,0
2017-10-02;12:51:54;305;20,482638;38,161196;34,8;840,5;147,0;10,4;168,0
2017-10-02;12:52:01;312;20,482621;38,161376;35,0;860,5;147,0;10,4;168,0
2017-10-02;12:52:02;313;20,482619;38,161402;35,0;863,4;151,0;10,4;168,0
2017-10-02;12:52:03;314;20,482615;38,161429;35,0;866,5;151,0;10,4;170,0
2017-10-02;12:52:08;319;20,482587;38,161561;35,2;881,3;148,0;10,4;168,0
2017-10-02;12:52:12;323;20,482561;38,161673;35,4;894,0;145,0;10,4;168,0
2017-10-02;12:52:15;326;20,482542;38,161755;35,6;903,2;150,0;10,5;168,0
2017-10-02;12:52:16;327;20,482537;38,161782;35,6;906,2;150,0;10,5;168,0
2017-10-02;12:52:23;334;20,482498;38,161963;34,8;926,6;149,0;10,5;168,0
2017-10-02;12:52:28;339;20,482461;38,162097;34,2;941,9;146,0;10,5;168,0
2017-10-02;12:52:34;345;20,482425;38,162251;33,6;959,2;149,0;10,6;168,0
2017-10-02;12:52:37;348;20,482407;38,162327;33,4;967,8;146,0;10,6;170,0
2017-10-02;12:52:44;355;20,482381;38,162519;33,0;989,3;145,0;10,6;168,0
2017-10-02;12:52:48;359;20,482368;38,162635;32,6;1002,2;145,0;10,6;168,0
2017-10-02;12:52:55;366;20,482333;38,162840;32,2;1025,1;144,0;10,7;168,0
2017-10-02;12:53:02;373;20,482296;38,163037;32,2;1047,2;145,0;10,9;168,0
2017-10-02;12:53:09;380;20,482268;38,163235;32,4;1069,3;146,0;10,9;168,0
2017-10-02;12:53:16;387;20,482227;38,163429;32,4;1091,1;147,0;11,0;166,0
2017-10-02;12:53:23;394;20,482201;38,163616;32,0;1112,0;146,0;11,0;168,0
2017-10-02;12:53:30;401;20,482196;38,163808;31,8;1133,4;146,0;11,0;168,0
2017-10-02;12:53:37;408;20,482194;38,164005;31,6;1155,2;145,0;11,0;168,0
2017-10-02;12:53:44;415;20,482215;38,164197;31,4;1176,7;144,0;11,1;170,0
2017-10-02;12:53:51;422;20,482254;38,164386;31,6;1197,9;145,0;11,1;166,0
2017-10-02;12:53:58;429;20,482310;38,164576;31,8;1219,6;145,0;11,1;168,0
2017-10-02;12:54:05;436;20,482371;38,164771;32,2;1241,9;146,0;11,1;170,0
2017-10-02;12:54:12;443;20,482427;38,164964;32,6;1263,8;147,0;11,2;168,0
2017-10-02;12:54:19;450;20,482474;38,165149;33,0;1284,8;146,0;11,2;168,0
2017-10-02;12:54:26;457;20,482546;38,165338;33,6;1306,8;145,0;11,2;170,0
2017-10-02;12:54:33;464;20,482610;38,165519;34,2;1327,6;146,0;11,2;170,0
2017-10-02;12:54:40;471;20,482659;38,165701;34,6;1348,3;147,0;11,1;170,0
2017-10-02;12:54:47;478;20,482708;38,165881;35,2;1368,7;148,0;11,0;170,0
2017-10-02;12:54:54;485;20,482775;38,166053;36,4;1388,7;149,0;11,0;170,0
2017-10-02;12:55:02;493;20,482817;38,166245;37,8;1410,4;151,0;10,9;170,0
2017-10-02;12:55:09;500;20,482878;38,166422;39,2;1430,8;153,0;10,7;170,0
2017-10-02;12:55:16;507;20,482934;38,166604;40,6;1451,6;154,0;10,7;170,0
2017-10-02;12:55:24;515;20,482990;38,166805;42,0;1474,5;156,0;10,6;170,0
2017-10-02;12:55:31;522;20,483041;38,166984;42,8;1494,8;158,0;10,6;172,0
