Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2013-08-17;20:05:34;0;18,054057;59,312538;41,0;2,7;124,0;0,0;0,0
2013-08-17;20:05:41;7;18,054275;59,312394;40,0;23,1;130,0;10,5;0,0
2013-08-17;20:05:46;12;18,054470;59,312292;41,4;39,0;134,0;11,5;0,0
2013-08-17;20:05:52;18;18,054751;59,312172;43,8;59,8;137,0;12,5;0,0
2013-08-17;20:05:58;24;18,054992;59,312074;47,8;77,3;139,0;10,5;0,0
2013-08-17;20:06:03;29;18,055236;59,311977;50,2;94,9;141,0;12,7;0,0
2013-08-17;20:06:09;35;18,055526;59,311872;53,0;115,1;141,0;12,1;0,0
2013-08-17;20:06:14;40;18,055756;59,311773;53,4;132,2;143,0;12,3;0,0
2013-08-17;20:06:18;44;18,055898;59,311706;55,0;143,2;144,0;9,9;0,0
2013-08-17;20:06:23;49;18,056140;59,311615;53,4;160,3;146,0;12,3;0,0
2013-08-17;20:06:28;54;18,056361;59,311517;55,4;177,0;147,0;12,0;0,0
2013-08-17;20:06:33;59;18,056592;59,311409;57,8;194,8;149,0;12,8;0,0
2013-08-17;20:06:38;64;18,056818;59,311313;57,8;211,5;151,0;12,0;0,0
2013-08-17;20:06:43;69;18,057095;59,311206;59,8;231,3;152,0;14,3;0,0
2013-08-17;20:06:49;75;18,057368;59,311118;62,2;249,7;154,0;11,0;0,0
2013-08-17;20:06:50;76;18,057384;59,311109;61,6;251,0;154,0;4,7;0,0
2013-08-17;20:06:55;81;18,057552;59,311049;64,0;262,2;155,0;8,0;0,0
2013-08-17;20:06:59;85;18,057774;59,310944;65,6;279,2;156,0;15,4;0,0
2013-08-17;20:07:03;89;18,057995;59,310833;68,0;297,1;157,0;16,1;0,0
2013-08-17;20:07:06;92;18,058215;59,310775;69,4;311,1;159,0;16,8;0,0
2013-08-17;20:07:13;99;18,058640;59,310631;68,8;340,3;160,0;15,0;0,0
2013-08-17;20:07:18;104;18,058879;59,310516;66,4;359,1;161,0;13,6;0,0
2013-08-17;20:07:24;110;18,059228;59,310391;66,4;383,4;162,0;14,6;0,0
2013-08-17;20:07:29;115;18,059531;59,310287;64,6;404,2;162,0;14,9;0,0
2013-08-17;20:07:34;120;18,059838;59,310176;59,8;425,5;161,0;15,4;0,0
2013-08-17;20:07:39;125;18,060142;59,310081;56,8;445,8;162,0;14,6;0,0
2013-08-17;20:07:47;133;18,060590;59,309912;50,2;477,6;162,0;14,3;0,0
2013-08-17;20:07:53;139;18,060934;59,309813;51,0;500,1;163,0;13,5;0,0
2013-08-17;20:07:57;143;18,061134;59,309751;52,0;513,4;163,0;12,0;0,0
2013-08-17;20:08:02;148;18,061429;59,309660;52,6;533,0;164,0;14,1;0,0
2013-08-17;20:08:07;153;18,061718;59,309562;52,6;552,7;164,0;14,2;0,0
2013-08-17;20:08:13;159;18,062078;59,309430;44,8;577,9;163,0;15,1;0,0
2013-08-17;20:08:19;165;18,062457;59,309302;39,0;603,8;164,0;15,5;0,0
2013-08-17;20:08:25;171;18,062793;59,309200;34,8;626,1;164,0;13,4;0,0
2013-08-17;20:08:30;176;18,063083;59,309106;33,4;645,8;165,0;14,2;0,0
2013-08-17;20:08:35;181;18,063354;59,309022;35,8;663,8;163,0;13,0;0,0
2013-08-17;20:08:41;187;18,063706;59,308924;38,2;686,6;162,0;13,7;0,0
2013-08-17;20:08:48;194;18,064126;59,308823;40,6;713,1;162,0;13,6;0,0
2013-08-17;20:08:54;200;18,064425;59,308730;42,4;733,0;162,0;11,9;0,0
2013-08-17;20:08:59;205;18,064694;59,308654;47,8;750,8;163,0;12,8;0,0
2013-08-17;20:09:03;209;18,064911;59,308605;52,6;764,3;162,0;12,1;0,0
2013-08-17;20:09:08;214;18,065204;59,308514;53,4;783,8;162,0;14,1;0,0
2013-08-17;20:09:13;219;18,065407;59,308465;51,0;796,6;161,0;9,2;0,0
2013-08-17;20:09:17;223;18,065601;59,308432;48,2;808,2;160,0;10,5;0,0
2013-08-17;20:09:21;227;18,065879;59,308358;46,2;826,0;161,0;16,0;0,0
2013-08-17;20:09:26;232;18,066233;59,308265;46,8;848,6;161,0;16,2;0,0
2013-08-17;20:09:31;237;18,066528;59,308205;44,8;866,7;162,0;13,0;0,0
2013-08-17;20:09:36;242;18,066824;59,308128;43,4;885,6;162,0;13,6;0,0
2013-08-17;20:09:40;246;18,067071;59,308087;41,4;900,4;162,0;13,3;0,0
2013-08-17;20:09:45;251;18,067431;59,308008;41,0;922,7;163,0;16,1;0,0
2013-08-17;20:09:50;256;18,067780;59,307941;43,4;944,0;163,0;15,3;0,0
2013-08-17;20:09:55;261;18,068096;59,307895;45,8;962,7;163,0;13,5;0,0
2013-08-17;20:10:01;267;18,068477;59,307821;44,4;985,9;163,0;13,9;0,0
2013-08-17;20:10:05;271;18,068723;59,307777;43,8;1000,7;165,0;13,3;0,0
2013-08-17;20:10:06;272;18,068787;59,307767;44,4;1004,6;165,0;14,1;0,0
2013-08-17;20:10:06;272;18,068787;59,307767;44,4;1004,6;165,0;0,0;0,0
2013-08-17;20:10:06;272;18,068787;59,307767;44,4;1004,6;165,0;14,1;0,0
2013-08-17;20:10:06;272;18,068787;59,307767;44,4;1004,6;165,0;0,0;0,0
2013-08-17;20:10:11;277;18,069084;59,307720;41,4;1022,2;165,0;12,6;0,0
2013-08-17;20:10:16;282;18,069403;59,307682;41,0;1040,9;166,0;13,5;0,0
