Date;Time;ElapsedTime;Longitude;Latitude;Altitude;Distance;HeartRate;Speed;Cadence
2019-09-19;15:16:13;0;17,152783;60,653597;7,0;0,0;65,0;0,0;0,0
2019-09-19;15:16:15;2;17,152781;60,653599;7,0;0,0;66,0;0,1;118,0
2019-09-19;15:16:30;17;17,152831;60,653618;7,0;1,7;63,0;0,0;0,0
2019-09-19;15:16:41;28;17,153199;60,653695;6,8;23,7;61,0;4,8;0,0
2019-09-19;15:16:47;34;17,153259;60,653718;6,8;27,8;58,0;0,0;0,0
2019-09-19;15:17:03;50;17,153112;60,653663;6,8;33,5;61,0;0,1;118,0
2019-09-19;15:17:21;68;17,153037;60,653621;7,0;39,4;64,0;0,2;0,0
2019-09-19;15:17:30;77;17,152978;60,653581;7,0;44,7;67,0;0,2;0,0
2019-09-19;15:17:34;81;17,152961;60,653574;7,0;45,8;70,0;0,2;0,0
2019-09-19;15:17:38;85;17,152981;60,653563;7,0;47,6;74,0;0,3;118,0
2019-09-19;15:17:41;88;17,152990;60,653543;7,0;49,8;77,0;1,5;118,0
2019-09-19;15:17:43;90;17,153009;60,653531;7,0;51,5;79,0;3,2;118,0
2019-09-19;15:17:45;92;17,153027;60,653527;7,0;52,6;81,0;3,4;118,0
2019-09-19;15:17:48;95;17,153049;60,653540;7,0;54,1;84,0;2,8;118,0
2019-09-19;15:17:55;102;17,152969;60,653596;7,0;61,0;87,0;3,4;118,0
2019-09-19;15:18:00;107;17,152862;60,653689;6,8;72,7;90,0;7,8;164,0
2019-09-19;15:18:03;110;17,152779;60,653748;6,8;80,7;93,0;8,2;168,0
2019-09-19;15:18:07;114;17,152643;60,653825;6,8;92,0;97,0;8,7;172,0
2019-09-19;15:18:10;117;17,152559;60,653879;6,8;99,6;100,0;8,8;172,0
2019-09-19;15:18:13;120;17,152480;60,653933;6,8;106,9;103,0;8,7;172,0
2019-09-19;15:18:17;124;17,152359;60,653998;6,8;116,8;106,0;8,5;170,0
2019-09-19;15:18:21;128;17,152210;60,654067;6,8;127,9;109,0;8,7;170,0
2019-09-19;15:18:25;132;17,152046;60,654128;6,6;139,3;112,0;9,1;174,0
2019-09-19;15:18:28;135;17,151911;60,654189;6,6;149,3;115,0;9,2;176,0
2019-09-19;15:18:32;139;17,151712;60,654248;6,6;162,1;118,0;9,7;176,0
2019-09-19;15:18:36;143;17,151594;60,654329;6,6;173,4;121,0;9,9;174,0
2019-09-19;15:18:40;147;17,151578;60,654429;6,6;184,6;124,0;9,9;172,0
2019-09-19;15:18:47;154;17,151522;60,654609;6,4;204,9;127,0;10,2;170,0
2019-09-19;15:18:52;159;17,151462;60,654714;6,4;217,4;128,0;10,1;170,0
2019-09-19;15:18:59;166;17,151107;60,654795;6,4;239,0;130,0;10,1;170,0
2019-09-19;15:19:06;173;17,150712;60,654838;6,4;261,1;131,0;10,4;174,0
2019-09-19;15:19:09;176;17,150571;60,654886;6,4;270,8;132,0;10,4;174,0
2019-09-19;15:19:16;183;17,150545;60,655065;6,2;291,0;133,0;10,6;176,0
2019-09-19;15:19:26;193;17,150595;60,655251;6,2;311,8;136,0;10,5;176,0
2019-09-19;15:19:33;200;17,150597;60,655437;6,2;332,5;138,0;10,4;176,0
2019-09-19;15:19:39;206;17,150562;60,655625;6,0;353,6;139,0;10,4;174,0
2019-09-19;15:19:46;213;17,150568;60,655816;6,0;374,8;140,0;10,6;172,0
2019-09-19;15:19:54;221;17,150502;60,656001;6,0;396,3;140,0;10,4;170,0
2019-09-19;15:20:01;228;17,150206;60,656142;6,0;418,8;141,0;10,6;176,0
2019-09-19;15:20:07;234;17,149945;60,656270;6,0;439,1;143,0;10,8;174,0
2019-09-19;15:20:13;240;17,149726;60,656431;5,8;460,7;143,0;11,1;172,0
2019-09-19;15:20:19;246;17,149512;60,656614;5,8;484,0;144,0;11,4;172,0
2019-09-19;15:20:26;253;17,149238;60,656750;6,0;505,3;143,0;11,7;172,0
2019-09-19;15:20:32;259;17,148988;60,656921;6,0;528,6;144,0;12,1;174,0
2019-09-19;15:20:37;264;17,148786;60,657075;6,2;548,7;144,0;12,4;174,0
2019-09-19;15:20:43;270;17,148557;60,657236;6,2;570,5;144,0;12,5;174,0
2019-09-19;15:20:49;276;17,148336;60,657380;6,4;590,5;144,0;12,5;174,0
2019-09-19;15:20:56;283;17,148095;60,657552;6,4;613,8;144,0;12,4;172,0
2019-09-19;15:21:02;289;17,147893;60,657706;6,6;634,1;145,0;12,4;174,0
